player,score,kills,damage,redeploys,objectives,game_id
Tucano_agressivo,9090,4,3648,10,1,f4744e080fa235d0537ca47d11dc330488ba9bc6292b9bae738cad4961128109
Fonset,8825,8,3982,14,1,f4744e080fa235d0537ca47d11dc330488ba9bc6292b9bae738cad4961128109
VB_CS,5665,1,1518,8,1,f4744e080fa235d0537ca47d11dc330488ba9bc6292b9bae738cad4961128109
NITRO,1550,0,245,1,0,f4744e080fa235d0537ca47d11dc330488ba9bc6292b9bae738cad4961128109
DavidAlmeida,9960,6,2935,7,2,aa487d78e05a5e17a008994dce661d03c8a7e7211ff12ab09c3a60572341ada6
Tucano_agressivo,9775,6,3502,5,2,aa487d78e05a5e17a008994dce661d03c8a7e7211ff12ab09c3a60572341ada6
VB_CS,8975,2,2357,4,2,aa487d78e05a5e17a008994dce661d03c8a7e7211ff12ab09c3a60572341ada6
skar,8960,6,3720,4,2,aa487d78e05a5e17a008994dce661d03c8a7e7211ff12ab09c3a60572341ada6
Tucano_agressivo,13795,10,5634,8,1,c2280ab9668f1c32955283f3b63fc149c042c538318d29c74e017c8ae29b223f
DavidAlmeida,11075,7,3351,8,1,c2280ab9668f1c32955283f3b63fc149c042c538318d29c74e017c8ae29b223f
VB_CS,8970,6,2364,6,1,c2280ab9668f1c32955283f3b63fc149c042c538318d29c74e017c8ae29b223f
RenzoRafael,6625,7,3670,7,1,c2280ab9668f1c32955283f3b63fc149c042c538318d29c74e017c8ae29b223f
Fonset,8853,7,4469,8,1,1be5846ec18098c13fe7f6dd30d4d3804a18cbe8e9f48fed36eda207aa812420
Tucano_agressivo,6895,3,4103,6,1,1be5846ec18098c13fe7f6dd30d4d3804a18cbe8e9f48fed36eda207aa812420
hendriow,6850,6,4010,8,1,1be5846ec18098c13fe7f6dd30d4d3804a18cbe8e9f48fed36eda207aa812420
VB_CS,6825,5,2271,10,1,1be5846ec18098c13fe7f6dd30d4d3804a18cbe8e9f48fed36eda207aa812420
